|,|__name,|__cost,|__colors__001,|__colors__002,|__colors__003
Hawaii,Kauai Community College,8388,,,
Hawaii,Leeward Community College,8350,,,
Hawaii,Pacific Rim Christian University,22280,,,
Hawaii,University of Hawaii at Hilo,29046,,,
Hawaii,University of Hawaii at Manoa,49154,,,
Hawaii,University of Hawaii Maui College,8420,,,
Hawaii,University of Hawaii-West Oahu,20544,,,
Hawaii,Windward Community College,8330,,,
Idaho,Boise Bible College,19492,,,
Idaho,Boise State University,43586,,,
Idaho,Brigham Young University-Idaho,9724,,,
Idaho,College of Eastern Idaho,6750,,,
Idaho,College of Southern Idaho,12590,,,
Idaho,College of Western Idaho,7344,,,
Idaho,Eagle Gate College-Boise Campus,18645,,,
Idaho,Idaho State University,35390,,,
Idaho,Lewis-Clark State College,33716,,,
Idaho,North Idaho College,16936,,,
Idaho,Northwest Nazarene University,50920,,,
Idaho,Provo College-Idaho Falls Campus,18645,,,
Idaho,The College of Idaho,47965,,,
Idaho,University of Idaho,40164,,,
Illinois,American Academy of Art College,39510,,,
Illinois,Americare Technical School,20500,,,
Illinois,Augustana College,62000,,,
Illinois,Aurora University,41460,,,
Illinois,Aviation Institute of Maintenance-Chicago,16657,,,
Illinois,Benedictine University,44556,,,
Illinois,Black Hawk College,8100,,,
Illinois,Blackburn College,35878,,,
Illinois,Bradley University,52530,,,
Illinois,Capital Area Career Center,11670,,,
Illinois,Carl Sandburg College,8810,,,
Illinois,Chamberlain University-Illinois,20604,,,
Illinois,Chicago State University,24304,,,
Illinois,City Colleges of Chicago-Harold Washington College,14430,,,
Illinois,City Colleges of Chicago-Harry S Truman College,14430,,,
Illinois,City Colleges of Chicago-Kennedy-King College,14430,,,
Illinois,City Colleges of Chicago-Malcolm X College,14430,,,
Illinois,City Colleges of Chicago-Olive-Harvey College,14430,,,
Illinois,City Colleges of Chicago-Richard J Daley College,14430,,,
Illinois,City Colleges of Chicago-Wilbur Wright College,14430,,,
Illinois,College of DuPage,12510,,,
Illinois,College of Lake County,14036,,,
Illinois,Columbia College Chicago,49358,,,
Illinois,Concordia University-Chicago,47398,,,
Illinois,Danville Area Community College,9200,,,
Illinois,DePaul University,62928,,,
Illinois,DeVry University-Illinois,17488,,,
Illinois,Dominican University,50396,,,
Illinois,East-West University,26100,,,
Illinois,Eastern Illinois University,27177,,,
Illinois,Elgin Community College,9516,,,
Illinois,Elmhurst University,53486,,,
Illinois,Estelle Medical Academy,9180,,,
Illinois,Eureka College,38942,,,
Illinois,Fox College,17190,,,
Illinois,Frontier Community College,12340,,,
Illinois,Generations College,12700,,,
Illinois,Governors State University,22680,,,
Illinois,Graham Hospital School of Nursing,8417,,,
Illinois,Greenville University,41256,,,
Illinois,Heartland Community College,15420,,,
Illinois,Hebrew Theological College,29100,,,
Illinois,Highland Community College,7120,,,
Illinois,Illinois Central College,11700,,,
Illinois,Illinois College,47734,,,
Illinois,Illinois Institute of Technology,68291,,,
Illinois,Illinois State University,39670,,,
Illinois,Illinois Valley Community College,14981,,,
Illinois,Illinois Wesleyan University,68634,,,
Illinois,John A Logan College,7540,,,
Illinois,John Wood Community College,9000,,,
Illinois,Joliet Junior College,13800,,,
Illinois,Judson University,42730,,,
Illinois,Kankakee Community College,25680,,,
Illinois,Kaskaskia College,12570,,,
Illinois,Kishwaukee College,13800,,,
Illinois,Knox College,65994,,,
Illinois,Lake Forest College,66682,,,
Illinois,Lake Land College,13906,,,
Illinois,Lewis and Clark Community College,12552,,,
Illinois,Lewis University,50022,,,
Illinois,Lincoln Christian University,15400,,,
Illinois,Lincoln Land Community College,10248,,,
Illinois,Lincoln Trail College,12340,,,
Illinois,Loyola University Chicago,68610,,,
Illinois,McHenry County College,14885,,,
Illinois,McKendree University,46340,,,
Illinois,MDT College of Health Sciences,21600,,,
Illinois,Methodist College,35288,,,
Illinois,Millikin University,57000,,,
Illinois,Monmouth College,54636,,,
Illinois,Moody Bible Institute,28176,,,
Illinois,Moraine Valley Community College,9846,,,
Illinois,Morrison Institute of Technology,28274,,,
Illinois,Morton College,11028,,,
Illinois,National Louis University,12345,,,
Illinois,North Central College,56828,,,
Illinois,North Park University,46100,,,
Illinois,Northeastern Illinois University,33468,,,
Illinois,Northern Illinois University,25500,,,
Illinois,Northwestern College,18475,,,
Illinois,Northwestern University,86331,,,
Illinois,Oakton College,12462,,,
Illinois,Olivet Nazarene University,48530,,,
Illinois,Olney Central College,12340,,,
Illinois,Pacific College of Health and Science,7508,,,
Illinois,Parkland College,13266,,,
Illinois,Prairie State College,11064,,,
Illinois,Quincy University,47900,,,
Illinois,Rasmussen University-Illinois,13546,,,
Illinois,Rend Lake College,7800,,,
Illinois,Richland Community College,17070,,,
Illinois,Rock Valley College,21344,,,
Illinois,Rockford University,48240,,,
Illinois,Roosevelt University,35805,,,
Illinois,Saint Anthony College of Nursing,27811,,,
Illinois,Saint Xavier University,49320,,,
Illinois,Sauk Valley Community College,12840,,,
Illinois,School of the Art Institute of Chicago,70630,,,
Illinois,Shawnee Community College,7500,,,
Illinois,South Suburban College,12683,,,
Illinois,Southeastern Illinois College,6540,,,
Illinois,Southern Illinois University-Carbondale,25358,,,
Illinois,Southern Illinois University-Edwardsville,23484,,,
Illinois,Southwestern Illinois College,6210,,,
Illinois,Spoon River College,12540,,,
Illinois,St. Augustine College,13288,,,
Illinois,Stautzenberger College-Rockford Career College,16699,,,
Illinois,Taylor Business Institute,12000,,,
Illinois,Telshe Yeshiva-Chicago,17000,,,
Illinois,The Chicago School at Chicago,20844,,,
Illinois,Trinity Christian College,31525,,,
Illinois,Trinity International University-Illinois,18410,,,
Illinois,Triton College,14880,,,
Illinois,University of Chicago,86160,,,
Illinois,University of Illinois Chicago,43960,,,
Illinois,University of Illinois Springfield,34105,,,
Illinois,University of Illinois Urbana-Champaign,48439,,,
Illinois,University of St Francis,48980,,,
Illinois,VanderCook College of Music,30910,,,
Illinois,Wabash Valley College,12340,,,
Illinois,Waubonsee Community College,12330,,,
Illinois,Western Illinois University,25872,,,
Illinois,Wheaton College,56320,,,
Illinois,William Rainey Harper College,11802,,,
Illinois,Worsham College of Mortuary Science,24800,,,
Indiana,Anderson University,47890,,,
Indiana,Aviation Institute of Maintenance-Indianapolis,16757,,,
Indiana,Ball State University,40830,,,
Indiana,Bethel University,43880,,,
Indiana,Butler University,61850,,,
Indiana,Calumet College of Saint Joseph,32650,,,
Indiana,Chamberlain University-Indiana,19686,,,
Indiana,College of Court Reporting Inc,10080,,,
Indiana,DePauw University,71920,,,
Indiana,Earlham College,65033,,,
Indiana,Fortis College-Indianapolis,14116,,,
Indiana,Franklin College,48640,,,
Indiana,Goshen College,49080,,,
Indiana,Grace College and Theological Seminary,40746,,,
Indiana,Hanover College,56452,,,
Indiana,Holy Cross College,47800,,,
Indiana,Horizon University,9840,,,
Indiana,Huntington University,39862,,,
Indiana,Indiana Institute of Technology,43025,,,
Indiana,Indiana Institute of Technology-College of Professional Studies,9900,,,
Indiana,Indiana State University,33217,,,
Indiana,Indiana University-Bloomington,53862,,,
Indiana,Indiana University-East,22043,,,
Indiana,Indiana University-Indianapolis,46727,,,
Indiana,Indiana University-Kokomo,22043,,,
Indiana,Indiana University-Northwest,22043,,,
Indiana,Indiana University-South Bend,33259,,,
Indiana,Indiana University-Southeast,33697,,,
Indiana,Indiana Wesleyan University-Marion,41722,,,
Indiana,Indiana Wesleyan University-National & Global,8216,,,
Indiana,International Business College-Indianapolis,24440,,,
Indiana,Ivy Tech Community College,9465,,,
Indiana,John Patrick University of Health and Applied Sciences,19520,,,
Indiana,Manchester University,48244,,,
Indiana,Marian University,52300,,,
Indiana,Marian University-Ancilla,30500,,,
Indiana,Martin University,12830,,,
Indiana,Mid-America College of Funeral Service,19800,,,
Indiana,Oakland City University,37760,,,
Indiana,Purdue University Fort Wayne,32552,,,
Indiana,Purdue University Global,14421,,,
Indiana,Purdue University Northwest,24717,,,
Indiana,Purdue University-Main Campus,40444,,,
Indiana,Rose-Hulman Institute of Technology,74392,,,
Indiana,Saint Elizabeth School of Nursing,20064,,,
Indiana,Saint Mary's College,65280,,,
Indiana,Saint Mary-of-the-Woods College,46500,,,
Indiana,Taylor University,49992,,,
Indiana,Trine University,47850,,,
Indiana,Trine University-Regional/Non-Traditional Campuses,9576,,,
Indiana,Union Bible College,11120,,,
Indiana,University of Evansville,56946,,,
Indiana,University of Indianapolis,52014,,,
Indiana,University of Notre Dame,80071,,,
Indiana,University of Saint Francis-Fort Wayne,46960,,,
Indiana,University of Southern Indiana,33371,,,
Indiana,Valparaiso University,59894,,,
Indiana,Veritas Baptist College,8992,,,
Indiana,Vincennes University,28997,,,
Indiana,Wabash College,62425,,,
Iowa,Allen College,20444,,,
Iowa,Briar Cliff University,45742,,,
Iowa,Buena Vista University,51086,,,
Iowa,Central College,33208,,,
Iowa,Clarke University,50600,,,
Iowa,Coe College,63912,,,
Iowa,Cornell College,61992,,,
Iowa,Des Moines Area Community College,19290,,,
Iowa,Divine Word College,19200,,,
Iowa,Dordt University,47390,,,
Iowa,Drake University,61802,,,
Iowa,Eastern Iowa Community College District,13157,,,
Iowa,Ellsworth Community College,15312,,,
Iowa,Emmaus Bible College,29250,,,
Iowa,Faith Baptist Bible College and Theological Seminary,27480,,,
Iowa,Graceland University-Lamoni,43760,,,
Iowa,Grand View University,46330,,,
Iowa,Grinnell College,80740,,,
Iowa,Hawkeye Community College,6598,,,
Iowa,Indian Hills Community College,13728,,,
Iowa,Iowa Central Community College,15248,,,
Iowa,Iowa Lakes Community College,15654,,,
Iowa,Iowa State University,37409,,,
Iowa,Iowa Western Community College,15680,,,
Iowa,Kirkwood Community College,7968,,,
Iowa,Loras College,47966,,,
Iowa,Luther College,61500,,,
Iowa,Maharishi International University,23930,,,
Iowa,Marshalltown Community College,13558,,,
Iowa,Mercy College of Health Sciences,17328,,,
Iowa,Morningside University,49394,,,
Iowa,Mount Mercy University,50100,,,
Iowa,North Iowa Area Community College,16733,,,
Iowa,Northeast Iowa Community College,7470,,,
Iowa,Northwest Iowa Community College,16726,,,
Iowa,Northwestern College,46000,,,
Iowa,Orion Technical College,15600,,,
Iowa,Saint Ambrose University,47946,,,
Iowa,Simpson College,56300,,,
Iowa,Southeastern Community College,16294,,,
Iowa,Southwestern Community College,15158,,,
Iowa,St Luke's College,20940,,,
Iowa,University of Dubuque,51535,,,
Iowa,University of Iowa,45543,,,
Iowa,University of Northern Iowa,30920,,,
Iowa,Upper Iowa University,28770,,,
Iowa,Waldorf University,34668,,,
Iowa,Wartburg College,62102,,,
Iowa,Western Iowa Tech Community College,11477,,,
Iowa,William Penn University,36462,,,
Kansas,Allen County Community College,10648,,,
Kansas,Baker University,44620,,,
Kansas,Barclay College,38690,,,
Kansas,Barton County Community College,11347,,,
Kansas,Benedictine College,46620,,,
Kansas,Bethany College,45284,,,
Kansas,Bethel College-North Newton,44332,,,
Kansas,Butler Community College,13476,,,
Kansas,Central Christian College of Kansas,29950,,,
Kansas,Cleveland University-Kansas City,14400,,,
Kansas,Cloud County Community College,10860,,,
Kansas,Coffeyville Community College,12178,,,
Kansas,Colby Community College,14114,,,
Kansas,Cowley County Community College,12250,,,
Kansas,Dodge City Community College,13700,,,
Kansas,Donnelly College,10350,,,
Kansas,Emporia State University,26211,,,
Kansas,Flint Hills Technical College,6196,,,
Kansas,Fort Hays State University,25583,,,
Kansas,Fort Scott Community College,10384,,,
Kansas,Friends University,43576,,,
Kansas,Galen Health Institutes-Wichita,15860,,,
Kansas,Garden City Community College,10800,,,
Kansas,Haskell Indian Nations University,1790,,,
Kansas,Hesston College,41928,,,
Kansas,Highland Community College,12060,,,
Kansas,Hutchinson Community College,11480,,,
Kansas,Independence Community College,10750,,,
Kansas,Johnson County Community College,5472,,,
Kansas,Kansas Christian College,20600,,,
Kansas,Kansas City Kansas Community College,16618,,,
Kansas,Kansas State University,39836,,,
Kansas,Kansas Wesleyan University,44810,,,
Kansas,Labette Community College,4768,,,
Kansas,Manhattan Area Technical College,9276,,,
Kansas,Manhattan Christian College,27668,,,
Kansas,McPherson College,45484,,,
Kansas,MidAmerica Nazarene University,46880,,,
Kansas,Neosho County Community College,12434,,,
Kansas,Newman University,45779,,,
Kansas,North Central Kansas Technical College,15869,,,
Kansas,Ottawa University-Ottawa,47460,,,
Kansas,Pittsburg State University,29090,,,
Kansas,Pratt Community College,12066,,,
Kansas,Rasmussen University-Kansas,15340,,,
Kansas,Salina Area Technical College,7020,,,
Kansas,Seward County Community College,11056,,,
Kansas,Southwestern College,49836,,,
Kansas,Sterling College,41732,,,
Kansas,Tabor College,45850,,,
Kansas,University of Kansas,40230,,,
Kansas,University of Saint Mary,43922,,,
Kansas,Washburn Institute of Technology,9120,,,
Kansas,Washburn University,31341,,,
Kansas,Wichita State University,33030,,,
Kansas,Wichita State University-Campus of Applied Sciences and Technology,6928,,,
Kentucky,Alice Lloyd College,22812,,,
Kentucky,American National University-Pikeville,11484,,,
Kentucky,Asbury University,43256,,,
Kentucky,Ashland Community and Technical College,6192,,,
Kentucky,ATA College,13930,,,
Kentucky,Beckfield College-Florence,13295,,,
Kentucky,Bellarmine University,57430,,,
Kentucky,Berea College,57218,,,
Kentucky,Big Sandy Community and Technical College,6192,,,
Kentucky,Bluegrass Community and Technical College,6242,,,
Kentucky,Brescia University,41385,,,
Kentucky,Campbellsville University,36160,,,
Kentucky,Centre College,64320,,,
Kentucky,Clear Creek Baptist Bible College,15249,,,
Kentucky,Eastern Kentucky University,32555,,,
Kentucky,Elizabethtown Community and Technical College,6192,,,
Kentucky,Galen College of Nursing-ARH,15860,,,
Kentucky,Galen Health Institutes-Pikeville,15860,,,
Kentucky,Gateway Community and Technical College,6192,,,
Kentucky,Georgetown College,53395,,,
Kentucky,Hazard Community and Technical College,6192,,,
Kentucky,Henderson Community College,6192,,,
Kentucky,Hopkinsville Community College,6192,,,
Kentucky,Interactive College of Technology-Newport,10970,,,
Kentucky,Jefferson Community and Technical College,6242,,,
Kentucky,Kentucky Christian University,34400,,,
Kentucky,Kentucky Mountain Bible College,15430,,,
Kentucky,Kentucky State University,21446,,,
Kentucky,Kentucky Wesleyan College,44919,,,
Kentucky,Lindsey Wilson College,37252,,,
Kentucky,Madisonville Community College,6192,,,
Kentucky,Maysville Community and Technical College,6192,,,
Kentucky,Midway University,35580,,,
Kentucky,Morehead State University,23648,,,
Kentucky,Murray State University,30046,,,
Kentucky,Northern Kentucky University,33140,,,
Kentucky,Owensboro Community and Technical College,6192,,,
Kentucky,Simmons College of Kentucky,16398,,,
Kentucky,Somerset Community College,6192,,,
Kentucky,Southcentral Kentucky Community and Technical College,6192,,,
Kentucky,Southeast Kentucky Community & Technical College,6192,,,
Kentucky,Spalding University,36330,,,
Kentucky,Sullivan University,24705,,,
Kentucky,Thomas More University,47930,,,
Kentucky,Transylvania University,59175,,,
Kentucky,Union College,39207,,,
Kentucky,University of Kentucky,48648,,,
Kentucky,University of Louisville,40864,,,
Kentucky,University of Pikeville,32750,,,
Kentucky,University of the Cumberlands,19175,,,
Kentucky,West Kentucky Community and Technical College,6192,,,
Kentucky,Western Kentucky University,39043,,,
Louisiana,Academy of Interactive Entertainment,24600,,,
Louisiana,Baton Rouge Community College,4221,,,
Louisiana,Bossier Parish Community College,4283,,,
Louisiana,Bridges Christian College,6600,,,
Louisiana,Centenary College of Louisiana,54360,,,
Louisiana,Central Louisiana Technical Community College,4099,,,
Louisiana,Chamberlain University-Louisiana,19686,,,
Louisiana,Delgado Community College,4678,,,
Louisiana,Dillard University,33980,,,
Louisiana,Fletcher Technical Community College,4219,,,
Louisiana,Fortis College-Baton Rouge,16167,,,
Louisiana,Franciscan Missionaries of Our Lady University,15690,,,
Louisiana,Grambling State University,27696,,,
Louisiana,Herzing University-New Orleans,13420,,,
Louisiana,ITI Technical College,11711,,,
Louisiana,Louisiana Christian University,27696,,,
Louisiana,Louisiana Culinary Institute,15575,,,
Louisiana,Louisiana Delta Community College,4159,,,
Louisiana,Louisiana State University and Agricultural & Mechanical College,42927,,,
Louisiana,Louisiana State University-Alexandria,24248,,,
Louisiana,Louisiana State University-Eunice,19476,,,
Louisiana,Louisiana State University-Shreveport,31511,,,
Louisiana,Louisiana Tech University,26313,,,
Louisiana,Loyola University New Orleans,62240,,,
Louisiana,McNeese State University,20556,,,
Louisiana,Nicholls State University,20204,,,
Louisiana,Northshore Technical Community College,4203,,,
Louisiana,Northwest Louisiana Technical Community College,4109,,,
Louisiana,Northwestern State University of Louisiana,30269,,,
Louisiana,Nunez Community College,4255,,,
Louisiana,Remington College-Baton Rouge Campus,15144,,,
Louisiana,Remington College-Lafayette Campus,22355,,,
Louisiana,Remington College-Shreveport Campus,23560,,,
Louisiana,River Parishes Community College,4079,,,
Louisiana,Saint Joseph Seminary College,42720,,,
Louisiana,South Louisiana Community College,4210,,,
Louisiana,Southeastern Louisiana University,31091,,,
Louisiana,Southern University and A & M College,26564,,,
Louisiana,Southern University at New Orleans,26730,,,
Louisiana,Southern University at Shreveport,15408,,,
Louisiana,SOWELA Technical Community College,4265,,,
Louisiana,Tulane University of Louisiana,83626,,,
Louisiana,University of Holy Cross,26326,,,
Louisiana,University of Louisiana at Lafayette,36134,,,
Louisiana,University of Louisiana at Monroe,31472,,,
Louisiana,University of New Orleans,26182,,,
Louisiana,Xavier University of Louisiana,37954,,,
Maine,Bates College,81382,,,
Maine,Bowdoin College,82600,,,
Maine,Central Maine Community College,16744,,,
Maine,Colby College,83720,,,
Maine,College of the Atlantic,56280,,,
Maine,Eastern Maine Community College,17599,,,
Maine,Husson University,34158,,,
Maine,Kennebec Valley Community College,6442,,,
Maine,Maine College of Art & Design,57048,,,
Maine,Maine College of Health Professions,17827,,,
Maine,Maine Maritime Academy,42152,,,
Maine,Northern Maine Community College,15358,,,
Maine,Saint Joseph's College of Maine,57770,,,
Maine,Southern Maine Community College,16815,,,
Maine,The Landing School,27700,,,
Maine,Thomas College,44574,,,
Maine,Unity Environmental University,24796,,,
Maine,University of Maine,48042,,,
Maine,University of Maine at Augusta,30248,,,
Maine,University of Maine at Farmington,34049,,,
Maine,University of Maine at Fort Kent,23065,,,
Maine,University of Maine at Presque Isle,24570,,,
Maine,University of New England,59290,,,
Maine,University of Southern Maine,38754,,,
Maine,Washington County Community College,12175,,,
Maine,York County Community College,17936,,,
Maryland,University of Maryland-College Park,39266,#E03C31,#000000,
Maryland,Johns Hopkins University,60640,#00457C,#FFFFFF,
Maryland,University of Maryland-Baltimore County,28620,#FFB200,#000000,
Maryland,Towson University,27200,#FFB612,#000000,
Maryland,Salisbury University,25860,#005A9C,#FFFFFF,
Maryland,Frostburg State University,24120,#003366,#FFFFFF,
Maryland,University of Maryland-Eastern Shore,19730,#006747,#FFFFFF,
Maryland,Morgan State University,25100,#FFB612,#000000,
Maryland,Loyola University Maryland,53500,#003366,#A67C00,
Maryland,Mount St Mary's University,45500,#0033A0,#FFD100,
Maryland,St. John's College,59000,#8C1D40,#231F20,
Maryland,Stevenson University,41000,#00457C,#FFFFFF,
Maryland,McDaniel College,53500,#8C1D40,#231F20,
Maryland,Goucher College,53500,#8C1D40,#231F20,
Maryland,Coppin State University,19730,#006747,#FFFFFF,
Maryland,Notre Dame of Maryland University,41000,#0033A0,#FFD100,
Maryland,Washington College,53500,#8C1D40,#231F20,
Maryland,Hood College,41000,#0033A0,#FFD100,
Maryland,Mount St. Mary's University,45500,#0033A0,#FFD100,
Maryland,Stevenson University,41000,#0033A0,#FFD100,
Maryland,Bowie State University,19730,#006747,#FFFFFF,
Maryland,Cecil College,10200,#98A1BC,#555879,
Maryland,Chesapeake College,10200,#98A1BC,#555879,
Maryland,College of Southern Maryland,10200,#98A1BC,#555879,
Maryland,Community College of Baltimore County,10200,#98A1BC,#555879,
Maryland,Frederick Community College,10200,#98A1BC,#555879,
Maryland,Garrett College,10200,#98A1BC,#555879,
Maryland,Hagerstown Community College,10200,#98A1BC,#555879,
Maryland,Harford Community College,10200,#98A1BC,#555879,
Maryland,Howard Community College,10200,#98A1BC,#555879,
Maryland,Montgomery College,10200,#98A1BC,#555879,
Maryland,Prince George's Community College,10200,#98A1BC,#555879,
Maryland,Salisbury University,25860,#005A9C,#FFFFFF,
Maryland,Sojourner-Douglass College,19730,#006747,#FFFFFF,
Maryland,Wor-Wic Community College,10200,#98A1BC,#555879,
Massachusetts,American International College,59230,,,
Massachusetts,Amherst College,84840,,,
Massachusetts,Anna Maria College,60374,,,
Massachusetts,Assumption University,64560,,,
Massachusetts,Babson College,76818,,,
Massachusetts,Bard College at Simon's Rock,84482,,,
Massachusetts,Bay Path University,50543,,,
Massachusetts,Benjamin Franklin Cummings Institute of Technology,18906,,,
Massachusetts,Bentley University,77350,,,
Massachusetts,Berklee College of Music,69710,,,
Massachusetts,Berkshire Community College,11228,,,
Massachusetts,Boston Architectural College,26800,,,
Massachusetts,Boston Baptist College,22104,,,
Massachusetts,Boston College,86155,,,
Massachusetts,Boston University,83278,,,
Massachusetts,Brandeis University,84042,,,
Massachusetts,Bridgewater State University,32115,,,
Massachusetts,Bristol Community College,10356,,,
Massachusetts,Bunker Hill Community College,10464,,,
Massachusetts,Cambridge College,18072,,,
Massachusetts,Cape Cod Community College,10656,,,
Massachusetts,Clark University,66850,,,
Massachusetts,College of Our Lady of the Elms,57211,,,
Massachusetts,College of the Holy Cross,78600,,,
Massachusetts,Curry College,63820,,,
Massachusetts,Dean College,64152,,,
Massachusetts,Eastern Nazarene College,39960,,,
Massachusetts,Emerson College,75702,,,
Massachusetts,Emmanuel College,64186,,,
Massachusetts,Endicott College,56584,,,
Massachusetts,FINE Mortuary College,19325,,,
Massachusetts,Fisher College,52700,,,
Massachusetts,Fitchburg State University,31351,,,
Massachusetts,Framingham State University,31494,,,
Massachusetts,Franklin W Olin College of Engineering,84278,,,
Massachusetts,Gordon College,40750,,,
Massachusetts,Greenfield Community College,11930,,,
Massachusetts,Hampshire College,71784,,,
Massachusetts,Harvard University,79450,,,
Massachusetts,Hellenic College-Holy Cross Greek Orthodox School of Theology,38682,,,
Massachusetts,Holyoke Community College,10754,,,
Massachusetts,Hult International Business School,74290,,,
Massachusetts,Laboure College of Healthcare,33663,,,
Massachusetts,Lasell University,39500,,,
Massachusetts,Lawrence Memorial Hospital School of Nursing,28617,,,
Massachusetts,Lesley University,51840,,,
Massachusetts,Longy School of Music of Bard College,52950,,,
Massachusetts,Massachusetts Bay Community College,10560,,,
Massachusetts,Massachusetts College of Art and Design,60180,,,
Massachusetts,Massachusetts College of Liberal Arts,35193,,,
Massachusetts,Massachusetts Institute of Technology,79546,,,
Massachusetts,Massachusetts Maritime Academy,38436,,,
Massachusetts,Massasoit Community College,10320,,,
Massachusetts,MCPHS University,62838,,,
Massachusetts,Merrimack College,71781,,,
Massachusetts,Middlesex Community College,12120,,,
Massachusetts,Mildred Elley-Pittsfield Campus,16052,,,
Massachusetts,Montserrat College of Art,54475,,,
Massachusetts,Mount Holyoke College,82980,,,
Massachusetts,Mount Wachusett Community College,10920,,,
Massachusetts,Nichols College,55325,,,
Massachusetts,North Shore Community College,10920,,,
Massachusetts,Northeastern University,81931,,,
Massachusetts,Northern Essex Community College,11472,,,
Massachusetts,Northpoint Bible College,25962,,,
Massachusetts,Quincy College,7536,,,
Massachusetts,Quinsigamond Community College,10918,,,
Massachusetts,Regis College,64850,,,
Massachusetts,Roxbury Community College,11088,,,
Massachusetts,Salem State University,35339,,,
Massachusetts,Simmons University,62642,,,
Massachusetts,Smith College,82878,,,
Massachusetts,Springfield College,57909,,,
Massachusetts,Springfield Technical Community College,10728,,,
Massachusetts,Stonehill College,69800,,,
Massachusetts,Suffolk University,64942,,,
Massachusetts,The New England Conservatory of Music,77837,,,
Massachusetts,Tufts University,85504,,,
Massachusetts,University of Massachusetts-Amherst,54162,,,
Massachusetts,University of Massachusetts-Boston,54686,,,
Massachusetts,University of Massachusetts-Dartmouth,49690,,,
Massachusetts,University of Massachusetts-Lowell,50820,,,
Massachusetts,Urban College of Boston,7608,,,
Massachusetts,Wellesley College,84240,,,
Massachusetts,Wentworth Institute of Technology,59680,,,
Massachusetts,Western New England University,61330,,,
Massachusetts,Westfield State University,31472,,,
Massachusetts,Wheaton College (Massachusetts),77510,,,
Massachusetts,Williams College,81160,,,
Massachusetts,Worcester Polytechnic Institute,77142,,,
Massachusetts,Worcester State University,30365,,,
Michigan,Adrian College,53980,,,
Michigan,Albion College,68316,,,
Michigan,Alma College,60558,,,
Michigan,Alpena Community College,14819,,,
Michigan,Andrews University,43760,,,
Michigan,Aquinas College,49514,,,
Michigan,Arizona College of Nursing-Southfield,23760,,,
Michigan,Baker College,20410,,,
Michigan,Bay de Noc Community College,21324,,,
Michigan,Bay Mills Community College,3320,,,
Michigan,Calvin University,50620,,,
Michigan,Carnegie Institute,15342,,,
Michigan,Central Michigan University,26368,,,
Michigan,Chamberlain University-Michigan,19686,,,
Michigan,Cleary University,37642,,,
Michigan,College for Creative Studies,62395,,,
Michigan,Concordia University Ann Arbor,46510,,,
Michigan,Cornerstone University,41300,,,
Michigan,Davenport University,34690,,,
Michigan,Delta College,7550,,,
Michigan,Dorsey College,32160,,,
Michigan,Dorsey College-Dearborn,22800,,,
Michigan,Dorsey College-Grand Rapids,9295,,,
Michigan,Dorsey College-Roseville,32160,,,
Michigan,Dorsey College-Saginaw,32160,,,
Michigan,Dorsey College-Wayne,32160,,,
Michigan,Dorsey College-Woodhaven,32160,,,
Michigan,Eastern Michigan University,27950,,,
Michigan,Ferris State University,24290,,,
Michigan,Glen Oaks Community College,16920,,,
Michigan,Gogebic Community College,14818,,,
Michigan,Grace Christian University,24532,,,
Michigan,Grand Rapids Community College,11859,,,
Michigan,Grand Valley State University,31962,,,
Michigan,Great Lakes Boat Building School,24717,,,
Michigan,Great Lakes Christian College,29990,,,
Michigan,Henry Ford College,7040,,,
Michigan,Hope College,52600,,,
Michigan,Jackson College,21105,,,
Michigan,Kalamazoo College,70848,,,
Michigan,Kalamazoo Valley Community College,8876,,,
Michigan,Kellogg Community College,7902,,,
Michigan,Kettering University,55880,,,
Michigan,Keweenaw Bay Ojibwa Community College,5000,,,
Michigan,Kirtland Community College,19290,,,
Michigan,Kuyper College,36270,,,
Michigan,Lake Michigan College,15180,,,
Michigan,Lake Superior State University,25473,,,
Michigan,Lansing Community College,11030,,,
Michigan,Lawrence Technological University,53542,,,
Michigan,Macomb Community College,8220,,,
Michigan,Madonna University,40200,,,
Michigan,MIAT College of Technology,17252,,,
Michigan,Michigan Career and Technical Institute,19048,,,
Michigan,Michigan State University,55126,,,
Michigan,Michigan Technological University,54114,,,
Michigan,Mid Michigan College,8446,,,
Michigan,Monroe County Community College,8224,,,
Michigan,Montcalm Community College,12420,,,
Michigan,Mott Community College,7410,,,
Michigan,Muskegon Community College,15390,,,
Michigan,North Central Michigan College,19983,,,
Michigan,Northern Michigan University,31552,,,
Michigan,Northwestern Michigan College,22962,,,
Michigan,Northwood University,45500,,,
Michigan,Oakland Community College,5560,,,
Michigan,Oakland University,34497,,,
Michigan,Rochester University,37738,,,
Michigan,Sacred Heart Major Seminary,37575,,,
Michigan,Saginaw Chippewa Tribal College,2210,,,
Michigan,Saginaw Valley State University,40452,,,
Michigan,Schoolcraft Community College District,7906,,,
Michigan,Siena Heights University,43018,,,
Michigan,Southwestern Michigan College,17350,,,
Michigan,Spring Arbor University,43540,,,
Michigan,St Clair County Community College,26326,,,
Michigan,The University of Olivet,44962,,,
Michigan,University of Detroit Mercy,43038,,,
Michigan,University of Michigan-Ann Arbor,71928,,,
Michigan,University of Michigan-Dearborn,31360,,,
Michigan,University of Michigan-Flint,44730,,,
Michigan,Washtenaw Community College,6336,,,
Michigan,Wayne County Community College District,4067,,,
